id,sum_mid,latitude,longitude,site_name
11097,94000000.0,50.23111111111111,13.446111111111112,Zatec
11098,200000000.0,50.42527777777777,14.248333333333331,Roudnice
11272,109000000.0,50.35722222222223,14.968333333333334,Mnichovo Hradiste
11273,20000000.0,50.59,15.605833333333331,Nova Paka
11274,23865030.0,48.98361111111111,16.729999999999997,Nosislav-Nikolcice
11275,24327648.0,48.9125,16.575,Ivan
11276,89021644.8,48.89527777777778,16.884999999999998,Kobyli
11277,81910615.5,49.3425,17.383055555555558,Vlkos-Lobodice
11278,75700000.0,49.16611111111111,16.909444444444443,Carpathian Foredeep
11279,35000000.0,50.55472222222222,14.669166666666666,Bohemia
11280,33000000.0,48.83638888888889,17.053611111111113,Hydrocarbon Fields
