,id,emission,lat,lon
117,25453521.0,25676.0,-26.3712,120.5776
118,25454665.0,24829.0,-22.399,119.732
119,25453522.0,23650.0,-26.6316,120.2519
120,25452618.0,22952.0,-25.311,119.4508
121,25451567.0,22586.0,-13.7856,131.8624
122,25450305.0,20448.0,-34.2082,150.7722
123,25453741.0,20262.0,-24.8911,113.7095
124,25452185.0,18444.0,-28.7701,114.6485
125,25453825.0,17805.0,-28.2933,118.5371
126,714825.0,17805.0,-34.8321,138.5489
127,25453701.0,17471.0,-21.9851,148.0246
128,25453113.0,15961.0,-35.1097,138.491
129,25451570.0,15903.0,-25.2323,130.9912
130,25450876.0,15302.0,-37.9502,145.1187
131,25453355.0,15289.0,-17.3141,123.6441
132,25454016.0,13994.0,-32.4598,151.1286
133,25452184.0,12636.0,-33.8762,121.8998
134,25452182.0,12334.5,-17.981,122.2046
135,25451653.0,0.0,-19.6422,147.4016
136,447749.0,0.0,-19.5165,147.1056
137,1923784.0,0.0,-18.589,146.258
138,1924155.0,0.0,-17.1193,145.345
139,4404163.0,0.0,-19.5574,147.3308
140,25454331.0,0.0,-29.0175,153.445
141,4404167.0,0.0,-21.1647,149.1348
142,4405978.0,0.0,-28.3107,153.4361
143,4407799.0,0.0,-27.7378,153.3261
144,25452646.0,0.0,-20.3985,148.5797
145,25452645.0,0.0,-17.0932,145.7887
146,25452644.0,0.0,-21.4282,149.2159
147,449336.0,0.0,-17.6066,145.9914
148,25452643.0,0.0,-18.6508,146.2016
