source_id,sink_id,co2_transported,dijkstra_path
1897074,10280,1420803.4,"['source_1897074', 'source_42547307', 'source_42546499', 'sink_10280']"
1897007,10283,1399965.4,"['source_1897007', 'source_1897040', 'source_32438641', 'source_32438517', 'source_1897030', 'source_1896942', 'source_1896974', 'source_32438593', 'sink_10283']"
1896978,10278,1379993.2,"['source_1896978', 'source_1897073', 'source_1896987', 'source_42547271', 'sink_10278']"
1897045,10278,1356941.9,"['source_1897045', 'source_1896988', 'source_1897012', 'source_1897069', 'sink_10278']"
1896986,10284,1353353.3,"['source_1896986', 'source_1897110', 'source_1897123', 'source_1897098', 'sink_10284']"
1897043,10278,1352299.2,"['source_1897043', 'source_1897045', 'source_1896988', 'source_1897012', 'source_1897069', 'sink_10278']"
1897040,10283,1324932.1,"['source_1897040', 'source_32438641', 'source_32438517', 'source_1897030', 'source_1896942', 'source_1896974', 'source_32438593', 'sink_10283']"
42547321,10283,1304855.2,"['source_42547321', 'source_1897006', 'source_1897062', 'source_1896919', 'source_1896990', 'source_1897020', 'source_1896975', 'source_1897026', 'source_1897099', 'source_42547359', 'source_32438653', 'sink_10283']"
1897096,10283,1284123.3,"['source_1897096', 'source_32438540', 'source_1896948', 'source_1896929', 'source_32438652', 'source_32438646', 'source_32438555', 'sink_10283']"
1897116,10278,1279488.4,"['source_1897116', 'source_1897107', 'source_1897043', 'source_1897045', 'source_1896988', 'source_1896957', 'sink_10278']"
1897029,10283,1251252.0,"['source_1897029', 'source_32438588', 'source_1897064', 'source_1897023', 'source_1896948', 'source_32438547', 'source_1897096', 'sink_10283']"
1896932,10283,1226977.0,"['source_1896932', 'source_32438552', 'source_1897101', 'source_1896985', 'source_32438585', 'source_1897060', 'source_1896976', 'source_1897097', 'source_1896913', 'source_1897026', 'source_1897108', 'source_1897007', 'source_1897127', 'source_1896942', 'source_1896974', 'source_32438593', 'sink_10283']"
32438515,10277,1212926.8,"['source_32438515', 'source_1897061', 'source_1897013', 'source_1896959', 'source_1896958', 'source_1897132', 'source_1897055', 'sink_10277']"
1896963,10277,1208614.3,"['source_1896963', 'source_1897055', 'sink_10277']"
1896949,10283,1206337.5,"['source_1896949', 'source_1896913', 'source_1896922', 'source_1897060', 'source_32438585', 'source_1896985', 'source_32438546', 'source_1897108', 'source_1897007', 'source_1897127', 'source_1896942', 'source_1896974', 'source_32438593', 'sink_10283']"
