id,name,emission,lat,lon
32437325,Rio Branco do Sul Cement Plant,2936031.2434,-25.1926029861697,-49.3258535054011
1895314,Salto de Pirapora Cement Plant,1792741.4413840002,-23.6298082490584,-47.4991326842116
32437291,Lagoa Santa Cement Plant,1679156.3108780002,-19.6829705776455,-43.9258294577691
1895261,Carandaí Cement Plant,1325374.05714,-20.8993564238087,-43.8189557972475
32437303,CSN Pedro Leopoldo Cement Plant,1193719.433553,-19.6075529718953,-44.0576630592689
32437289,CSN Cimentos Arcos Plant,1139779.811806,-20.3122643366559,-45.5837133026779
1895299,Ciplam Sobradinho Cement Plant,1077006.7576,-15.5687373137298,-47.8533625977783
32437302,Barroso Cement Plant,1052724.221165,-21.1801962063349,-43.9816068104474
32437320,Itau de MInas Cement Plant,848196.5166499999,-20.764720576675,-46.7693370501928
32437327,Votorantim Sobradinho Cement Plant,838826.347418,-15.5865772298781,-47.8737250733386
32437328,Sobral Cement Plant,825965.6823349999,-3.68573462627314,-40.3737031259893
1895300,Barauna Cement Plant,801708.1962889999,-5.07280397249802,-37.7165641436052
1895242,Sete Lagoas Cement Plant,751407.5707730001,-19.5133420816123,-44.2770288404302
32437329,Santa Helena Cement Plant,704647.8180600001,-23.5943981716116,-47.4375726425412
32437316,Cuiaba Cement Plant,704428.73006,-15.3325717558495,-56.1367927469819
32437295,Campo Formoso Cement Plant,665888.8907,-10.5179939074363,-40.3305930751687
1895264,Quixere Cement Plant,664492.958049,-5.04201730301099,-37.7747239088061
32437321,Laranjeiras Cement Plant,639791.8572709999,-10.8246739404936,-37.1651789124228
42547387,Alhandra Cement Plant,611269.66316,-7.37687869238426,-34.8855835586366
32437292,Apiai Cement Plant,588393.2594689999,-24.5192799695635,-48.8555107517031
32437274,Pitimbu Cement Plant,562945.1467200001,-7.47814327660876,-34.844502289032
1895256,Itapicuru Cement Plant,558860.3468020001,-4.52538361076126,-44.0407377682419
32437317,Votorantim Cimentos Cantagalo Plant,475348.79214000003,-21.9126573916281,-42.2624880403558
32437276,National Matozinhos Cement Plant,470348.88409,-19.5385640650546,-44.0777179484555
32437308,Caapora Cement Plant,461837.90187800006,-7.52788518338316,-34.8648120578719
32437275,Macuco Cement Plant,437443.873362,-21.9779955595119,-42.2869791764413
42547377,Cacapava Cement Plant,434068.06096999993,-23.1249070765395,-45.7412901332927
32437324,Primavera Cement Plant,422788.69084,-0.980054054401849,-47.1166876975988
32437304,CSN Cimentos Brasil Cantagalo Plant,417072.797677,-21.9415017621265,-42.2704469909252
32437277,Balsa nova Cement Plant,411013.13653899997,-25.4585165722111,-49.6098089083393
1895273,Cezarina Cement Plant,403258.54654999997,-17.0093287406068,-49.7803926860816
42545354,Cibarasa Cement Plant,403054.887708,-1.21566154248682,-47.188647320435
32437309,Adrianopolis Cement Plant,394199.188809,-24.6694409231288,-48.979785826757
1895270,Bodoquena Cement Plant,391613.52249999996,-20.4735337180186,-56.7297336041003
1895255,Itaú Cement Plant,367460.0954979999,-5.20394182474914,-37.3928919748408
32437297,Ijaci Cement Plant,359441.05353,-21.1944825901617,-44.9392334322679
1895307,Edealina Cement Plant,346419.72705,-17.2583423662288,-49.7865931578135
32437330,Vidal Ramos Cement Plant,339652.588336,-27.3589040724741,-49.3426962388236
32437322,nobres Cement Plant,337239.689091,-14.6436952360678,-56.2649288736443
42547358,Cimento Nacional Arcos Plant,285259.17614999996,-20.3190803531335,-45.5778420142788
32437294,Cajati Cement Plant,254710.97707300005,-24.7096365910157,-48.1180712741448
1895290,Montes Claros Cement Plant,251227.80928500002,-16.6816071745681,-43.8833638554305
42545395,Mizu Matozinhos Cement Plant,249741.19152,-19.5820846210514,-44.0538090449768
1895303,Vitoria Cement Plant,215699.80838,-20.2617935603446,-40.2339301426824
32437323,Pinheiro Machado Cement Plant,180309.75883,-31.5135797160977,-53.5591650484346
1895301,Mogi das Cruces Cement Plant,167509.33577,-23.4420814673789,-46.2424328157927
1895319,Xiamboa Cement Plant,160911.8016577,-6.43355888804842,-48.4284686259722
42547301,Ananindeua Cement Plant,152281.21431,-1.32371510011321,-48.3534319402458
42547263,Marechal Deodoro Cement Plant,146189.965745,-9.68021372489866,-35.8301197441189
1895277,Sao Miguel dos Campos Cement Plant,139095.34938,-9.76229843265269,-36.151693657131
42545396,Manaus Cement Plant,134763.55280999996,-3.14853438626752,-59.9700588313264
32437310,Pomerode Cement Plant,119783.40338299997,-26.818457839798,-49.1572732495766
32437301,Candiota Cement Plant,95380.42849230001,-31.5852329865747,-53.6712962942598
32437314,Pacatuba Cement Plant,71035.7580381,-10.41623977407,-36.6986338369909
42547334,Pains Cement Plant,60912.485735,-20.3870994571074,-45.5672802930823
32437318,Corumba Cement Plant,60772.4837047,-19.0031254951213,-57.6240411829909
42547265,Pajeu Cement Plant,24364.994293000003,-7.80266281816461,-37.8262036152135
