,source_id,sink_id,co2_transported
0,3673053.0,10910.0,1189885.5
1,3673051.0,Atmosphere,326514.53
2,3673049.0,Atmosphere,288101.06
3,3673050.0,10910.0,259290.95
4,3673052.0,Atmosphere,184384.68
