,3673053.0,3673051.0,3673049.0,3673050.0,3673052.0
10074.0,194.98573083000002,492.52743083,545.8700308299999,151.58153083,519.12943083
10909.0,436.64153083,437.37053083,452.14713083000004,398.65933083,466.26223083
10910.0,177.73153083,372.38433083,406.96263083,137.98213083,402.67853083
10911.0,195.80313083,342.77793083,377.35623083,156.05383082999998,373.07203083
10912.0,472.74843083,378.86383083,396.62303083,434.76623083000004,407.75553083
Atmosphere,190.0,190.0,190.0,190.0,190.0
