,id,sum_mid,latitude,longitude
73,10074.0,107600000.0,54.61472222222223,10.34138888888889
908,10909.0,2899999999.999998,51.379444444444445,11.736388888888888
909,10910.0,29500000000.000004,52.87083333333334,10.645555555555555
910,10911.0,16700000000.0,52.70416666666667,10.47888888888889
911,10912.0,2000000000.0,50.67805555555555,10.554166666666667
