,id,lat,lon,emission,name
0,0,52.25737734248575,12.708362580357322,15576945.7,cluster_0
1,1,51.04964267980464,6.653547748173725,38831507.0,cluster_1
2,2,48.953672365942445,9.248728779852613,7816233.0,cluster_2
3,3,53.072772624533094,9.74172806129243,6928326.0,cluster_3
4,4,51.25736992628629,12.229032972625362,11563200.0,cluster_4
5,5,51.586516783876114,14.47893397909953,30674467.0,cluster_5
6,6,48.603117497583554,11.516336648427448,7367301.0,cluster_6
7,7,49.56009602106754,8.358510197572413,24331494.3,cluster_7
8,8,51.701634152344056,7.375638638632788,19587007.0,cluster_8
9,9,53.40222506959876,8.33079490539758,4666024.0,cluster_9
