id,emission,lat,lon
25451939,21059000.0,51.0358,6.633
25452445,14471000.0,51.8357,14.4578
25451940,13722000.0,50.994,6.6675
25452444,13228000.0,51.4205,14.5703
4403955,10112300.0,51.1845,12.3729
25451941,9724000.0,50.8396,6.3224
25452447,8725500.0,51.5379,14.3535
25450974,8712000.0,49.4457,8.4904
25452449,5046900.0,51.633,7.3425
25452451,4262500.0,51.3985,11.9504
25450872,3624400.0,49.1753,9.2074
25453771,3264800.0,51.614,7.462
449658,3117600.0,52.4819,7.3067
25451691,3082200.0,50.0881,8.9522
450821,2988000.0,51.527,6.7082
25453755,2768400.0,53.5748,8.137
4403962,2575500.0,51.6006,7.0046
448468,2569500.0,50.0262,8.2369
4401664,2397900.0,49.0133,8.3054
25451688,2369000.0,52.3816,8.9986
450291,2360200.0,50.859,6.841
25451503,2248600.0,48.7172,9.3708
25451272,2203500.0,54.1428,12.1329
25450970,2172900.0,51.6367,7.6206
25451693,2125200.0,53.5659,8.1462
448325,2025400.0,48.767,11.58
25451271,1974400.0,52.315,10.094
25450299,1872100.0,52.5346,13.2445
25452203,1745500.0,51.5514,7.1889
25451291,1728000.0,52.2858,7.746
25451504,1682400.0,49.0177,9.1577
25451000,1620500.0,53.5668,9.7257
449141,1606500.0,49.3345,7.0335
448070,1545600.0,48.9275,9.23
25451687,1541900.0,53.2021,8.5161
25451937,1541500.0,51.3763,6.7239
25452170,1481000.0,48.1812,11.6398
4403987,1367560.0,52.4415,10.7651
448326,1362430.0,48.4553,11.7995
448831,1314100.0,53.098,14.234
25453467,1230390.0,51.6739,7.9291
449355,1174100.0,51.2214,6.7313
25452165,1172730.0,52.4203,9.6475
449860,1150610.0,51.0791,6.8287
25450999,1114130.0,53.526,10.0643
448171,1088490.0,49.4208,11.0077
25452460,1033700.0,51.6786,7.9714
448264,999350.0,51.6846,7.1
25455454,928180.0,53.1294,8.6823
450441,866980.0,49.5144,8.4311
448162,848190.0,50.9749,6.988
450194,847710.0,51.4908,6.727
449370,847280.0,48.114,11.556
450992,840870.0,51.4031,7.4149
25455576,815620.0,50.8976,6.7931
449358,815440.0,50.0988,8.6557
