id,name,emission,lat,lon
1897831,TPI Polene PCL Chang Wat Saraburi 1,2997910.6675614757,14.648107228908,101.127639970256
32439150,Asia Cement PCL Chang Wat Saraburi 1,1263464.248416246,14.6738751962439,100.80406760079
32439153,Siam Cement Kaeng Khoi Co Ltd Chang Wat Saraburi 1,1080797.4676341282,14.6495672757742,101.039215743072
32439156,Siam Cement Ta Luang Co Ltd Saraburi 1,925595.1600130403,14.5700539251415,100.764421576816
1897829,Siam Cement Thung Song Co Ltd Chang Wat Nakhon Si Thammarat 1,605992.048052303,8.10187535801654,99.6781522813712
1897832,Chang Wat Saraburi 1,551632.9081326752,14.6281968149332,101.083860310526
32439154,Siam Cement Lampang Co Ltd Chang Wat Lampang 1,537163.7188524591,18.554785110741,99.5729765955621
1897823,CEMEX (Thailand) Co Ltd Saraburi 1,532276.9083524676,14.7214447370411,100.905808743082
32439151,Jalaprathan Cement PCL Chang Wat Phetchaburi 1,326448.94083228253,12.8174855534854,99.9509986144622
32439152,Jalaprathan Cement PCL Nakhon Sawan 1,168874.9142261018,15.2185998844662,100.362209885346
