,33999131,33999094,33999081,33999220,33999069
10083,24.377197805300025,23.481310875252156,23.233741136593117,13.7542488912949,15.01711996883224
10084,32.60133048748472,23.30461954889052,18.065127475707964,12.519932969816677,10.28494320028099
10085,22.533395563092565,33.19523433688574,23.853922151539805,15.349926591066566,15.865943041723426
10086,34.944382187712606,52.60222643099164,53.97689224854559,41.72916487124952,42.68338758731697
10087,33.04987888885354,22.464734987106734,19.592811545726807,11.102863418909918,11.564624335704476
10088,34.47326274735815,21.49113338175294,23.113931797467387,12.950577563519422,15.10020916309914
10089,32.166503485985345,23.27004795970014,18.852536349350444,12.069909149295151,10.641975935195742
10090,21.967156851213204,33.84854699957974,23.516685224648814,15.462661280120354,15.679158691089736
10091,31.78132983470733,23.106038838809596,20.74455952169255,11.875789257037502,12.526662503868677
10092,33.673252874668826,22.40420865049696,18.563235327345502,11.70987565773806,11.09627940876378
10093,35.009962777403445,21.260859255523798,23.599603924683947,13.409847843185263,15.628240506390519
10094,33.03532177305502,22.519840089138548,23.305663387649346,13.390746678255631,15.126675310582089
10095,20.26277817143111,38.174396290306994,34.737921877470484,18.908291079324087,19.037523395984614
10096,34.87434243516374,21.316442546273947,23.477782928897042,13.292639715088619,15.495956135813417
10097,24.24483259825598,23.561255239428796,19.664760832327087,12.144573692986775,11.474390064031173
10098,34.73967517782856,21.373362652701168,23.356225687591426,13.176909696629762,15.363847043078128
10099,31.76826979256717,23.201947231012053,20.09283174326991,11.794546380907603,11.874360261926086
10100,34.605976655728746,21.431599605229678,23.2349394699295,13.062825346891886,15.231926507696032
10101,19.946079354672428,37.69505942295379,33.12556383340909,18.17773995680958,18.093535006146524
10102,21.039681021579234,35.04079623824991,23.162387664261153,15.902950178870594,15.665618690981017
10103,22.428228033263096,34.551283829933396,33.48292400772045,16.996273184372836,17.684688673805304
10104,33.46251693586915,22.703679680419313,18.170043671773715,12.1392779733935,10.845954431524484
10105,31.661898998566322,23.16741925401049,21.667572655702315,12.42852579661609,13.449092465143918
Atmosphere,9.0,9.0,9.0,9.0,9.0
