id,sum_mid,latitude,longitude
10083,58000000.0,23.61305555555556,90.5911111111111
10084,9000000.0,23.98527777777777,91.0822222222222
10085,2000000.0,23.404444444444444,90.68083333333334
10086,20000000000.0,21.76722222222222,89.86666666666666
10087,133000000.0,23.941388888888888,90.8913888888889
10088,26000000.0,23.81138888888889,90.47638888888888
10089,16000000.0,23.92194444444445,91.01194444444444
10090,7000000.0,23.38583333333333,90.75916666666669
10091,213000000.0,23.79583333333333,90.82444444444444
10092,46000000.0,24.03333333333333,90.98055555555555
10093,105000000.0,23.81138888888889,90.40972222222224
10094,3000000.0,23.70055555555556,90.51722222222222
10095,3000000.0,22.999722222222225,90.69
10096,7000000.0,23.81138888888889,90.4263888888889
10097,20000000.0,23.83138888888889,90.95972222222224
10098,12000000.0,23.81138888888889,90.44305555555556
10099,77000000.0,23.83277777777778,90.8938888888889
10100,6000000.0,23.81138888888889,90.45972222222224
10101,47000000.0,23.079444444444444,90.79388888888889
10102,8000000.0,23.342777777777776,90.8761111111111
10103,26000000.0,23.24083333333333,90.5461111111111
10104,26000000.0,24.036944444444448,91.03333333333332
10105,283000000.0,23.730277777777776,90.73611111111111
