id,emission,lat,lon
3672990.0,14287420.021,37.018969,117.49298
3673046.0,10825101.7549,23.9848531230091,106.291549945361
3673026.0,4241577.8183,44.1497919,87.9684506
3673009.0,4241577.818299999,34.972484,108.979591
3673029.0,3952986.596299999,34.6262915874818,113.471486082229
3672989.0,3826349.6741,42.4804953,85.4633464
3673030.0,3040758.9198000003,34.36202296877,111.104904318461
3673013.0,3033844.3444999997,34.98297,104.63749
3673006.0,3013752.6605,40.592408,109.798065
3673012.0,3013752.6605,44.1640613,87.5403611
3673002.0,3013752.6605,36.5865512,116.2406737
3673047.0,2939400.2893000003,38.8835906748753,112.408765161322
3673036.0,2635324.3974000006,36.5917337291953,118.010377350168
3673022.0,2567270.785,36.59129835,116.183670446196
3673004.0,2455650.316,44.3017013,86.0775574
3673020.0,2277057.5655,44.300861,86.415667
3672994.0,2129718.5466,48.2461315,134.1033853
3673033.0,2027172.6131999998,37.6135928249813,117.878839573766
3673038.0,2027172.6131999998,21.8058610964229,108.077042429088
3673041.0,2027172.6131999998,39.4089113608289,108.618039637608
3672997.0,2009168.44,35.7553973024075,96.0028538289268
3673001.0,1919872.0652999997,40.567036,110.12536
3672975.0,1879688.6963,46.809292,130.293169
3673018.0,1875223.8775,37.718324,120.469166
3672968.0,1799321.9587,45.409325,119.610502
3672993.0,1785927.5026999998,44.0833278782745,113.188460391496
3673011.0,1741279.3148999999,40.593611,109.796111
3673037.0,1723096.7213000006,37.6767511678222,111.262392500748
3673031.0,1621738.0908,26.8429990575872,106.707339603852
3672976.0,1506876.3303,36.728569,101.747412456048
3673044.0,1419020.829,23.6909171011534,104.714515578356
3672995.0,1406417.9085000001,38.2851657,109.7290619
3673016.0,1339445.6269,34.425169,112.494984
3672973.0,1339445.6268999998,34.973048,108.974799
3673010.0,1272473.3456000001,37.887194,105.930611
3673028.0,1250149.25195,36.099444,110.128333
3673008.0,1238987.2047899999,36.747317,118.056516
3672996.0,1227825.15786,35.7553973024075,96.0028538289268
3673034.0,1226439.4308099998,28.1675995024413,107.086535824205
3673039.0,1216303.5682599996,26.5024154290871,108.557554394327
3673019.0,1183176.97032,34.6196539,112.4477046
3672999.0,1160852.87652,33.8761853651454,113.614527263456
3672971.0,1160852.87652,36.518142,102.868314
3672986.0,1116204.6890500002,34.6031839,98.2683155
3673015.0,1116204.68905,33.9311614,116.4440806
3672984.0,1116204.68905,33.917716,116.554364
3673032.0,1013586.30665,34.2861176277573,112.023948437685
3673040.0,1013586.30665,30.0551333912639,107.864488420692
3672974.0,1011281.44826,41.0562113572211,84.9976194138309
3672972.0,1004584.2201500001,36.156235,102.7747344
3672987.0,982260.1263600002,35.239949,113.370979
3672981.0,973330.4888400001,29.676991,107.227736
3672970.0,959936.0325500001,41.2987124958389,122.600275282862
3673003.0,959936.0325499999,36.153417,103.326666
3673014.0,937611.93882,30.6066264180491,102.711402322843
3672983.0,937611.93882,35.662274,110.681498
3672980.0,915287.8450499998,24.0326705,109.957014
3672969.0,892963.75124,33.8761853651454,113.614527263456
3672992.0,892963.75124,36.617331,101.7761976
3672979.0,892963.7512399999,41.0562113572211,84.9976194138309
3672998.0,848315.5637,34.735837,112.049037
3673000.0,830456.28862,30.0551333912637,107.864488420692
3673023.0,830456.28862,30.0104556,107.0938925
3673025.0,825991.4699100002,37.0000001,105.9999999
3673042.0,810869.04533,37.3277077654082,112.961039308559
3673007.0,792505.3292400001,29.5200156,103.3321693
3672985.0,781343.2823600001,29.491172,115.4565889
3673017.0,781343.28236,33.9300982,116.548419762104
3673024.0,781343.28236,36.0673949,113.8105402
3673027.0,781343.28236,24.6724698,102.5941077
3673005.0,736695.09477,34.893861,110.840761
3672982.0,714371.0010100001,23.269469,106.377466
3673021.0,714371.00101,23.9053605,106.6148824
3672977.0,696511.72597,37.887414,105.931109
3672988.0,680884.8603299998,24.9727861,102.9919064
3672991.0,602750.53207,34.699197,113.039115
3672978.0,524616.20386,27.0,107.0
3673045.0,75005.38669099999,40.5810793738034,111.399166506692
3673043.0,3040.7589198000005,30.6654050492254,103.844870347936
3673035.0,2027.1726132,36.8142494642241,101.451204938864
