id,sum_mid,latitude,longitude,site_name
11033,105980160.0,45.45055555555556,9.666944444444445,Casirate 1 - Lombardia 1
11034,824947200.0,45.07055555555556,11.140833333333331,Poggio Rusco 1 - Lombardia 3
11035,649967741.5933789,44.71888888888889,11.404444444444444,S.Pietro in Casale 3 - Emilia 1
11036,56972034.0671999,44.30444444444444,12.059722222222224,Filetto1 - Emilia 2
11037,234000000.0,44.11972222222222,12.819166666666666,Serena Nord 1 - Emilia mare
11038,561600000.0,43.43888888888888,13.339166666666667,Jesi 6 - Marche 1
11039,778099959.0,42.71027777777778,13.9025,Notaresco 1 - Abruzzi 1
11040,766350000.0,40.52166666666667,16.578333333333333,Pomarico 7 - Basilicata 1
11041,79565768.1,39.68833333333333,16.592222222222222,Licia 1 - Calabria 1
11042,186743793.6,38.45527777777778,16.83138888888889,Fosca 1 - Calabria mare 2
11043,70504358.4,37.68361111111111,12.635833333333332,Biddusa 2 - Sicilia 1
11044,54756000.0,42.25333333333333,14.342777777777778,Furci 9 - Abruzzi 2
11045,21917540.2225069,40.53583333333333,16.404722222222222,CUGNO LE MACINE oilfield
11046,15443386.5276177,40.39388888888889,16.52638888888889,SERRA PIZZUTA oilfield
11047,70382563.0491979,44.461666666666666,12.158611111111112,RAVENNA TERRA oilfield
11048,18000000.0,40.60194444444445,16.380555555555556,GROTTOLE oilfield
11049,13300000.0,40.38722222222222,16.56222222222222,PISTICCI oilfield
11050,200000000.0,44.16277777777778,12.162777777777778,Structura Pesaro
11051,200000000.0,43.82,12.561111111111112,Structura Cornelia
11052,400000000.0,44.05888888888889,12.66388888888889,Offshore Adriatico-Marchigino
11053,100000000.0,39.736666666666665,16.901666666666664,Offshore Calabria Ionica
11054,800000000.0,45.19972222222222,12.573611111111113,Offshore Alto Adriatico
11055,52000000.0,42.095,11.626666666666669,Matilde 1
11056,320000000.0,45.48583333333333,9.561111111111112,Malossa-Lombardia
11057,17000000.0,43.76416666666667,14.215,Carlo
11058,40000000.0,43.87444444444444,13.511666666666668,Cornelia
11059,19000000.0,43.26277777777778,14.356666666666666,Daniel
11060,313000000.0,42.71222222222222,15.121666666666668,Ernesto
11061,30000000.0,44.21416666666667,12.77638888888889,Pesaro
11062,43000000.0,43.82722222222223,13.863333333333332,Elga
11063,20000000.0,42.84,14.155555555555557,Emma
11064,50000000.0,42.80833333333333,14.379166666666666,Patrizia
11065,14200000.0,43.5,13.95,Rosella
11066,236000000.0,43.06666666666667,14.183333333333334,Esmeralda
11067,183000000.0,42.66666666666666,14.116666666666667,Silvana
11068,176000000.0,42.66666666666666,14.116666666666667,Vanessa
11069,140000000.0,43.63333333333333,14.3,Fiorella
11070,124000000.0,44.17083333333333,13.113333333333332,Serena
11071,217000000.0,42.559444444444445,14.18361111111111,Tamara
