,31922464,31922466,31922465
11033,33.52935673118417,48.23446398304561,24.219049243125475
11034,44.60874285322662,35.73969227876476,44.938999272874
11035,46.449777067327965,35.5003295294726,47.95725415505063
11036,52.76266167497647,34.34012769355683,55.30027025791067
11037,60.26385789867945,32.66342899827201,62.98273895669279
11038,67.03587345592722,40.25005072334285,86.08900119661082
11039,91.87565264806517,49.75990472396523,97.72960851920449
11040,164.56404387337804,102.83972418889877,173.01750445644473
11041,174.56313659205617,115.970610299876,183.83053516259264
11042,193.6185350777116,161.7851795603234,203.71163389380075
11043,165.69303758094816,170.89926249786504,178.32196358714
11044,100.0112972262215,56.19045020467254,106.31170958577293
11045,162.20859560720422,101.84807311681122,170.75059257318398
11046,165.34329522519187,104.59961052876467,173.9642563678405
11047,53.587310305475874,32.13597058077174,55.688423583461464
11048,161.1656449107373,100.70816152642168,169.6497445769098
11049,165.86967587350014,104.86209154956258,174.47631863404058
11050,53.938949700783944,35.226674696753925,56.79588582229726
11051,58.4867800461486,37.312740492735365,61.95385724333089
11052,58.89541714858923,34.00125436709874,61.802424983374564
11053,177.73445814875313,116.53187352429197,186.77969070508993
11054,58.21629228759446,18.4734692657325,58.40097304153744
11055,60.510346688223116,62.05618633686882,67.40489568896298
11056,32.967590274733084,49.17450793741498,23.629821703556633
11057,90.36587673276375,36.07968093834322,94.04228065581636
11058,67.34868385381031,34.299545581994764,85.40761438052226
11059,93.99694135297086,42.90168360226994,98.60587611905119
11060,105.77581605583522,51.868948560814395,110.94670897106909
11061,59.711864222978136,31.66914891442538,62.23646748854063
11062,85.99966852407051,34.86653737945269,89.68133857033298
11063,93.93387396483803,48.21117797978676,99.41323050348002
11064,96.68250489106323,48.912984822684585,102.08877042821686
11065,88.18729947482488,39.271150568401325,92.52910675124194
11066,92.96300183665944,45.238235871676494,98.02427650995338
11067,94.5818468432943,50.47477270960769,100.37741841417355
11068,94.5818468432943,50.47477270960769,100.37741841417355
11069,91.808430977747,37.9439453370683,95.72000885327154
11070,62.987513658682865,24.062140710959195,65.5054195836728
11071,96.0519469176596,51.95979218468106,101.9815299107771
Atmosphere,20.0,20.0,20.0
