id,sum_mid,latitude,longitude,site_name
10826,1757000000.0,10.215277777777777,108.19194444444445,Cuu Long
10827,327000000.0,10.662,103.5111111111111,Malay-Tho Chu
10831,2429000000.0,18.50555555555556,108.34888888888888,Song Hong 
10832,10418230000.0,10.341111111111111,108.4152777777778,Nam Vang
10833,26300000.0,7.136111111111112,104.39194444444443, Saline Aquifer offshore Vietnam - under CO2-rich gas field (J Group)
10834,26300000.0,7.136111111111112,104.39194444444443, Saline Aquifer in Offshore Vietnam - under CO2-rich gas field (I Group)
10835,23400000.0,7.136111111111112,104.39194444444443, Saline Aquifer in Offshore Vietnam - under CO2-rich gas field (L Group)
10836,70000000.0,9.808611111111112,107.33527777777778,CL01
10837,355000000.0,9.933333333333334,107.485,CL16
10838,50000000.0,10.157777777777778,107.5275,CL05
10839,75000000.0,10.231111111111112,107.6763888888889,CL19
10840,100000000.0,8.733055555555556,108.48666666666666,NCS05
10841,40000000.0,10.265833333333331,107.75638888888888,CL11
10842,20000000.0,10.293888888888889,107.86083333333332,CL02
10843,70000000.0,10.066666666666666,108.01083333333334,CL03
10844,30000000.0,10.030277777777778,107.98138888888889,CL17
10845,25000000.0,10.103055555555557,107.85972222222222,CL07
10846,10000000.0,9.18,109.16555555555556,NCS03
10847,12000000.0,9.979166666666666,107.70972222222224,CL04
10848,12000000.0,9.9525,107.64444444444445,CL012
